82.599: [GC 6244K->5745K(8536K), 0.0028150 secs]
82.613: [GC 6321K->5754K(8536K), 0.0015520 secs]
83.130: [GC 6330K->5796K(8536K), 0.0015170 secs]
83.140: [GC 6372K->5772K(8536K), 0.0011650 secs]
83.148: [GC 6348K->5811K(8536K), 0.0011660 secs]
85.176: [GC 6371K->5798K(8536K), 0.0019340 secs]
85.217: [GC 6371K->5915K(8536K), 0.0031420 secs]
85.262: [GC 6491K->5991K(8536K), 0.0029230 secs]
85.301: [GC 6567K->6084K(8536K), 0.0033980 secs]
90.596: [GC 6660K->6129K(8536K), 0.0028110 secs]
91.591: [GC 6705K->6123K(8536K), 0.0032000 secs]
93.138: [GC 6699K->6143K(8536K), 0.0023860 secs]
95.323: [GC 6719K->6199K(8536K), 0.0027590 secs]
95.361: [GC 6775K->6278K(8536K), 0.0027400 secs]
95.436: [GC 6845K->6367K(8536K), 0.0030500 secs]
95.486: [GC 6943K->6486K(8536K), 0.0032560 secs]
95.599: [GC 7062K->6543K(8536K), 0.0030080 secs]
97.129: [GC 7119K->6636K(8536K), 0.0043870 secs]
97.450: [GC 7212K->6756K(8536K), 0.0050050 secs]
100.603: [GC 7332K->6782K(8536K), 0.0025250 secs]
101.664: [GC 7358K->6843K(8536K), 0.0026250 secs]
101.748: [GC 7407K->6926K(8536K), 0.0031940 secs]
101.797: [GC 7502K->7050K(8536K), 0.0038290 secs]
102.850: [GC 7604K->7102K(8536K), 0.0023040 secs]
102.894: [GC 7678K->7231K(8536K), 0.0042720 secs]
103.879: [GC 7807K->7269K(8536K), 0.0032340 secs]
103.969: [GC 7845K->7430K(8536K), 0.0034340 secs]
104.037: [GC 7998K->7530K(8536K), 0.0036110 secs]
105.084: [GC 8106K->7642K(8536K), 0.0030960 secs]
105.133: [GC 8218K->7739K(8536K), 0.0029950 secs]
106.170: [GC 8315K->7864K(8536K), 0.0035610 secs]
107.195: [GC 8435K->7925K(8536K), 0.0025620 secs]
107.220: [GC 8501K->8049K(8664K), 0.0033760 secs]
107.224: [Full GC 8049K->4310K(8664K), 0.1897810 secs]
108.439: [GC 4868K->4423K(8536K), 0.0028950 secs]
108.461: [GC 4999K->4580K(8536K), 0.0035300 secs]
109.486: [GC 5156K->4602K(8536K), 0.0019810 secs]
109.522: [GC 5178K->4766K(8536K), 0.0035160 secs]
110.544: [GC 5342K->4795K(8536K), 0.0019960 secs]
110.578: [GC 5371K->4963K(8536K), 0.0035750 secs]
111.425: [GC 5539K->5000K(8536K), 0.0025950 secs]
111.656: [GC 5576K->5122K(8536K), 0.0029710 secs]
111.730: [GC 5698K->5187K(8536K), 0.0027350 secs]
112.746: [GC 5763K->5227K(8536K), 0.0023340 secs]
112.777: [GC 5803K->5399K(8536K), 0.0036890 secs]
113.842: [GC 5975K->5458K(8536K), 0.0023770 secs]
113.865: [GC 6034K->5635K(8536K), 0.0035770 secs]
114.883: [GC 6211K->5662K(8536K), 0.0023830 secs]
114.928: [GC 6238K->5834K(8536K), 0.0035690 secs]
115.980: [GC 6409K->5919K(8536K), 0.0024320 secs]
116.007: [GC 6495K->6069K(8536K), 0.0032920 secs]
116.067: [GC 6634K->6153K(8536K), 0.0028250 secs]
117.099: [GC 6729K->6266K(8536K), 0.0031010 secs]
117.153: [GC 6842K->6358K(8536K), 0.0028640 secs]
118.183: [GC 6934K->6420K(8536K), 0.0026960 secs]
118.228: [GC 6996K->6542K(8536K), 0.0030660 secs]
119.257: [GC 7118K->6603K(8536K), 0.0023870 secs]
119.285: [GC 7179K->6777K(8536K), 0.0035590 secs]
119.339: [GC 7353K->6865K(8536K), 0.0030860 secs]
120.345: [GC 7441K->6990K(8536K), 0.0040260 secs]
120.387: [GC 7566K->7089K(8536K), 0.0038380 secs]
121.409: [GC 7665K->7179K(8536K), 0.0027880 secs]
121.449: [GC 7755K->7367K(8536K), 0.0039310 secs]
122.500: [GC 7938K->7458K(8536K), 0.0025080 secs]
122.529: [GC 8030K->7593K(8536K), 0.0032520 secs]
122.582: [GC 8169K->7701K(8536K), 0.0036650 secs]
123.597: [GC 8277K->7786K(8536K), 0.0022240 secs]
123.616: [GC 8362K->7986K(8664K), 0.0039400 secs]
123.620: [Full GC 7986K->4912K(8664K), 0.1753180 secs]
123.859: [GC 5488K->5084K(8828K), 0.0036510 secs]
124.889: [GC 5658K->5218K(8828K), 0.0032160 secs]
124.934: [GC 5794K->5331K(8828K), 0.0031860 secs]
125.980: [GC 5907K->5437K(8828K), 0.0030700 secs]
126.082: [GC 6013K->5626K(8828K), 0.0036650 secs]
127.105: [GC 6199K->5695K(8828K), 0.0024320 secs]
127.136: [GC 6271K->5866K(8828K), 0.0034220 secs]
127.177: [GC 6442K->5971K(8828K), 0.0032110 secs]
128.195: [GC 6547K->6120K(8828K), 0.0034230 secs]
128.226: [GC 6696K->6332K(8828K), 0.0043340 secs]
129.251: [GC 6908K->6407K(8828K), 0.0029400 secs]
129.278: [GC 6983K->6590K(8828K), 0.0041300 secs]
129.348: [GC 7166K->6665K(8828K), 0.0028900 secs]
130.372: [GC 7241K->6780K(8828K), 0.0075580 secs]
130.433: [GC 7356K->6962K(8828K), 0.0056140 secs]
131.459: [GC 7538K->7006K(8828K), 0.0023480 secs]
131.485: [GC 7582K->7187K(8828K), 0.0035520 secs]
131.515: [GC 7763K->7252K(8828K), 0.0037960 secs]
132.523: [GC 7828K->7402K(8828K), 0.0033950 secs]
132.551: [GC 7978K->7586K(8828K), 0.0037360 secs]
133.598: [GC 8162K->7654K(8828K), 0.0029740 secs]
133.702: [GC 8229K->7686K(8828K), 0.0024420 secs]
133.741: [GC 8262K->7725K(8828K), 0.0016910 secs]
134.731: [GC 8301K->7796K(8828K), 0.0020780 secs]
134.781: [GC 8372K->7817K(8828K), 0.0017250 secs]
134.789: [GC 8393K->7863K(8828K), 0.0013490 secs]
134.800: [GC 8414K->7846K(8828K), 0.0015430 secs]
135.609: [GC 8422K->7833K(8828K), 0.0021920 secs]
135.834: [GC 8351K->7880K(8828K), 0.0017100 secs]
135.850: [GC 8456K->8149K(8828K), 0.0032900 secs]
136.370: [GC 8723K->8297K(8956K), 0.0033800 secs]
136.373: [Full GC 8297K->5273K(8956K), 0.1806240 secs]
138.121: [GC 5913K->5357K(9496K), 0.0025460 secs]
138.145: [GC 5989K->5382K(9496K), 0.0016110 secs]
138.679: [GC 6022K->5376K(9496K), 0.0012920 secs]
138.690: [GC 6016K->5411K(9496K), 0.0013570 secs]
140.214: [GC 6050K->5405K(9496K), 0.0014400 secs]
142.298: [GC 6045K->5454K(9496K), 0.0020280 secs]
144.734: [GC 6094K->5489K(9496K), 0.0020940 secs]
146.010: [GC 6129K->5494K(9496K), 0.0020010 secs]
146.104: [GC 6134K->5577K(9496K), 0.0037510 secs]
146.133: [GC 6217K->5756K(9496K), 0.0043430 secs]
146.162: [GC 6381K->5889K(9496K), 0.0033410 secs]
146.182: [GC 6529K->6062K(9496K), 0.0040070 secs]
147.085: [GC 6698K->6183K(9496K), 0.0036620 secs]
152.330: [GC 6823K->6214K(9496K), 0.0023110 secs]
152.355: [GC 6854K->6388K(9496K), 0.0036150 secs]
152.415: [GC 7028K->6582K(9496K), 0.0040870 secs]
152.654: [GC 7222K->6613K(9496K), 0.0030270 secs]
156.097: [GC 7253K->6607K(9496K), 0.0015670 secs]
156.236: [GC 7247K->6766K(9496K), 0.0031040 secs]
156.282: [GC 7406K->6976K(9496K), 0.0040120 secs]
156.427: [GC 7616K->7109K(9496K), 0.0044860 secs]
156.465: [GC 7749K->7306K(9496K), 0.0040290 secs]
182.459: [GC 7935K->7436K(9496K), 0.0037760 secs]
182.538: [GC 8076K->7579K(9496K), 0.0034730 secs]
182.598: [GC 8219K->7681K(9496K), 0.0033910 secs]
191.098: [GC 8321K->7750K(9496K), 0.0026120 secs]
201.103: [GC 8387K->7783K(9496K), 0.0023510 secs]
202.559: [GC 8423K->7743K(9496K), 0.0012270 secs]
209.279: [GC 8383K->7778K(9496K), 0.0021070 secs]
212.640: [GC 8418K->7869K(9496K), 0.0028780 secs]
212.663: [GC 8509K->8084K(9496K), 0.0039730 secs]
212.695: [GC 8724K->8167K(9496K), 0.0026850 secs]
219.844: [GC 8807K->8211K(9496K), 0.0031240 secs]
221.130: [GC 8848K->8309K(9496K), 0.0042540 secs]
221.149: [GC 8946K->8331K(9496K), 0.0023720 secs]
221.166: [GC 8964K->8349K(9496K), 0.0017410 secs]
221.187: [GC 8988K->8365K(9496K), 0.0017890 secs]
224.954: [GC 9005K->8402K(9496K), 0.0037000 secs]
227.748: [GC 9033K->8473K(9496K), 0.0036930 secs]
233.754: [GC 9113K->8582K(9496K), 0.0037640 secs]
233.778: [GC 9222K->8796K(9496K), 0.0047670 secs]
233.804: [GC 9436K->8929K(9624K), 0.0039240 secs]
233.808: [Full GC 8929K->5375K(9624K), 0.1958430 secs]
234.032: [GC 6015K->5588K(9624K), 0.0044960 secs]
237.749: [GC 6228K->5685K(9624K), 0.0029710 secs]
242.693: [GC 6320K->5722K(9624K), 0.0025260 secs]
242.713: [GC 6362K->5918K(9624K), 0.0037860 secs]
242.745: [GC 6556K->6024K(9624K), 0.0039100 secs]
249.131: [GC 6663K->6130K(9624K), 0.0035160 secs]
253.510: [GC 6770K->6118K(9624K), 0.0017210 secs]
262.742: [GC 6757K->6166K(9624K), 0.0026870 secs]
267.904: [GC 6806K->6246K(9624K), 0.0030880 secs]
267.933: [GC 6886K->6442K(9624K), 0.0042410 secs]
268.019: [GC 7082K->6571K(9624K), 0.0034110 secs]
268.048: [GC 7211K->6778K(9624K), 0.0038740 secs]
268.122: [GC 7418K->6906K(9624K), 0.0036480 secs]
269.152: [GC 7546K->6966K(9624K), 0.0025110 secs]
269.174: [GC 7606K->7186K(9624K), 0.0041550 secs]
269.242: [GC 7826K->7296K(9624K), 0.0033350 secs]
270.258: [GC 7936K->7358K(9624K), 0.0024750 secs]
270.286: [GC 7998K->7566K(9624K), 0.0040990 secs]
270.359: [GC 8206K->7687K(9624K), 0.0036110 secs]
271.369: [GC 8303K->7693K(9624K), 0.0018180 secs]
271.396: [GC 8333K->7868K(9624K), 0.0034200 secs]
271.451: [GC 8508K->8014K(9624K), 0.0042210 secs]
272.494: [GC 8625K->8161K(9624K), 0.0029030 secs]
272.521: [GC 8801K->8326K(9624K), 0.0038200 secs]
272.575: [GC 8966K->8472K(9624K), 0.0035180 secs]
272.728: [GC 9111K->8575K(9624K), 0.0029680 secs]
272.775: [GC 9215K->8695K(9624K), 0.0031810 secs]
272.804: [GC 9335K->8902K(9624K), 0.0039250 secs]
273.606: [GC 9519K->8972K(9624K), 0.0030940 secs]
273.631: [GC 9612K->9140K(9880K), 0.0040740 secs]
273.635: [Full GC 9140K->4982K(9880K), 0.2036280 secs]
273.865: [GC 5622K->5166K(9624K), 0.0040630 secs]
274.878: [GC 5759K->5267K(9624K), 0.0029010 secs]
274.904: [GC 5907K->5466K(9624K), 0.0039460 secs]
274.952: [GC 6106K->5639K(9624K), 0.0039540 secs]
275.998: [GC 6273K->5753K(9624K), 0.0027300 secs]
276.027: [GC 6393K->5918K(9624K), 0.0037230 secs]
276.075: [GC 6558K->6081K(9624K), 0.0039800 secs]
277.102: [GC 6721K->6153K(9624K), 0.0027860 secs]
277.120: [GC 6793K->6336K(9624K), 0.0037840 secs]
277.149: [GC 6976K->6489K(9624K), 0.0038490 secs]
278.166: [GC 7114K->6614K(9624K), 0.0030250 secs]
278.187: [GC 7254K->6779K(9624K), 0.0036960 secs]
278.223: [GC 7419K->6900K(9624K), 0.0035210 secs]
279.234: [GC 7540K->7024K(9624K), 0.0028340 secs]
279.265: [GC 7664K->7246K(9624K), 0.0043020 secs]
279.312: [GC 7886K->7416K(9624K), 0.0041270 secs]
280.342: [GC 8019K->7499K(9624K), 0.0027850 secs]
280.368: [GC 8139K->7667K(9624K), 0.0038290 secs]
280.417: [GC 8307K->7839K(9624K), 0.0037600 secs]
281.318: [GC 8479K->7927K(9624K), 0.0046320 secs]
281.486: [GC 8567K->8071K(9624K), 0.0034860 secs]
281.514: [GC 8711K->8275K(9624K), 0.0039740 secs]
282.090: [GC 8915K->8376K(9624K), 0.0035810 secs]
282.552: [GC 9016K->8542K(9624K), 0.0036330 secs]
282.581: [GC 9182K->8689K(9624K), 0.0033170 secs]
283.603: [GC 9329K->8788K(9624K), 0.0027310 secs]
283.623: [GC 9424K->8952K(9624K), 0.0038670 secs]
283.655: [GC 9592K->9122K(9880K), 0.0045340 secs]
283.659: [Full GC 9122K->5571K(9880K), 0.1920220 secs]
284.507: [GC 6275K->5662K(9944K), 0.0036330 secs]
284.882: [GC 6366K->5861K(9944K), 0.0042160 secs]
284.916: [GC 6565K->6042K(9944K), 0.0040570 secs]
285.938: [GC 6746K->6100K(9944K), 0.0028470 secs]
285.965: [GC 6804K->6331K(9944K), 0.0047630 secs]
285.998: [GC 7035K->6430K(9944K), 0.0037390 secs]
287.012: [GC 7132K->6602K(9944K), 0.0038780 secs]
287.043: [GC 7306K->6759K(9944K), 0.0040070 secs]
288.069: [GC 7463K->6788K(9944K), 0.0024980 secs]
288.099: [GC 7492K->6999K(9944K), 0.0042430 secs]
288.139: [GC 7703K->7139K(9944K), 0.0038680 secs]
288.180: [GC 7843K->7265K(9944K), 0.0035580 secs]
288.207: [GC 7969K->7412K(9944K), 0.0035180 secs]
288.248: [GC 8116K->7500K(9944K), 0.0031660 secs]
288.271: [GC 8204K->7720K(9944K), 0.0041820 secs]
288.303: [GC 8364K->7872K(9944K), 0.0036220 secs]
288.328: [GC 8576K->8055K(9944K), 0.0038300 secs]
288.358: [GC 8759K->8231K(9944K), 0.0040480 secs]
289.157: [GC 8935K->8388K(9944K), 0.0041250 secs]
289.185: [GC 9092K->8631K(9944K), 0.0044010 secs]
289.213: [GC 9321K->8753K(9944K), 0.0030470 secs]
290.232: [GC 9457K->8904K(9944K), 0.0033150 secs]
290.260: [GC 9608K->9070K(9944K), 0.0038230 secs]
291.280: [GC 9774K->9201K(9944K), 0.0030430 secs]
291.301: [GC 9905K->9424K(10200K), 0.0046740 secs]
291.306: [Full GC 9424K->5553K(10200K), 0.1915780 secs]
291.534: [GC 6257K->5750K(10024K), 0.0054050 secs]
292.557: [GC 6454K->5850K(10024K), 0.0027540 secs]
292.587: [GC 6554K->6082K(10024K), 0.0043060 secs]
292.622: [GC 6786K->6162K(10024K), 0.0030920 secs]
293.634: [GC 6866K->6310K(10024K), 0.0038160 secs]
293.666: [GC 7014K->6545K(10024K), 0.0049290 secs]
293.727: [GC 7249K->6751K(10024K), 0.0046090 secs]
294.769: [GC 7455K->6830K(10024K), 0.0044670 secs]
294.808: [GC 7534K->7049K(10024K), 0.0048000 secs]
294.860: [GC 7753K->7271K(10024K), 0.0046610 secs]
295.887: [GC 7964K->7324K(10024K), 0.0023340 secs]
295.914: [GC 8028K->7542K(10024K), 0.0040010 secs]
295.971: [GC 8246K->7720K(10024K), 0.0047140 secs]
